rank,brand,model,units_sold,source_period
1,현대,더 뉴 그랜저,10062,국산 2026-06
2,테슬라,Model Y,9188,수입 2026-06
3,기아,쏘렌토,8561,국산 2026-06
4,기아,셀토스,6685,국산 2026-06
5,기아,카니발,6267,국산 2026-06
6,기아,스포티지,6176,국산 2026-06
7,현대,쏘나타 디 엣지,5102,국산 2026-06
8,현대,디 올 뉴 팰리세이드,4211,국산 2026-06
9,현대,아반떼,4201,국산 2026-06
10,현대,싼타페,4068,국산 2026-06
11,현대,투싼,3285,국산 2026-06
12,현대,포터2,3270,국산 2026-06
13,기아,EV5,3192,국산 2026-06
14,기아,K5,3150,국산 2026-06
15,기아,레이,2954,국산 2026-06
16,기아,EV3,2838,국산 2026-06
17,BYD,Dolphin,2828,수입 2026-06
18,제네시스,G80,2757,국산 2026-06
19,현대,더 뉴 스타리아,2579,국산 2026-06
20,현대,코나,2558,국산 2026-06
21,기아,PV5,2349,국산 2026-06
22,제네시스,GV70,2294,국산 2026-06
23,BMW,5 Series,2266,수입 2026-06
24,벤츠,E-Class,2114,수입 2026-06
25,기아,K8,1981,국산 2026-06
26,기아,모닝,1919,국산 2026-06
27,기아,니로,1880,국산 2026-06
28,제네시스,GV80,1840,국산 2026-06
29,현대,아이오닉 5,1693,국산 2026-06
30,기아,봉고 3,1494,국산 2026-06
31,현대,버스/트럭,1452,국산 2026-06
32,기아,버스/특수,1389,국산 2026-06
33,KGM,무쏘,1333,국산 2026-06
34,르노,필랑트,1324,국산 2026-06
35,현대,아이오닉 9,1318,국산 2026-06
36,르노,그랑 콜레오스,1313,국산 2026-06
37,벤츠,GLC-Class,1221,수입 2026-06
38,기아,레이 EV,1205,국산 2026-06
39,현대,베뉴,1123,국산 2026-06
40,BYD,SEALION 7,1117,수입 2026-06
41,테슬라,Model X,1027,수입 2026-06
42,기아,EV4,1019,국산 2026-06
43,쉐보레,트랙스 크로스오버,842,국산 2026-06
44,기아,EV6,820,국산 2026-06
45,현대,캐스퍼 일렉트릭,774,국산 2026-06
46,현대,더 뉴 아이오닉 6,773,국산 2026-06
47,르노,아르카나,763,국산 2026-06
48,현대,캐스퍼,711,국산 2026-06
49,토요타,All New RAV4,674,수입 2026-06
50,벤츠,GLE-Class,634,수입 2026-06
