brand,model,units_sold,source_period
기아,쏘렌토,6397,국산 2026-08
현대,더 뉴 그랜저,5931,국산 2026-08
기아,카니발,4186,국산 2026-08
기아,스포티지,3874,국산 2026-08
현대,포터2,3743,국산 2026-08
현대,싼타페,3596,국산 2026-08
기아,셀토스,3307,국산 2026-08
기아,EV3,3174,국산 2026-08
기아,EV5,3146,국산 2026-08
현대,쏘나타 디 엣지,3105,국산 2026-08
기아,레이,2517,국산 2026-08
기아,봉고 3,2140,국산 2026-08
기아,K8,1938,국산 2026-08
기아,K5,1920,국산 2026-08
현대,디 올 뉴 팰리세이드,1812,국산 2026-08
기아,PV5,1744,국산 2026-08
현대,더 뉴 스타리아,1609,국산 2026-08
현대,버스/트럭,1553,국산 2026-08
기아,모닝,1410,국산 2026-08
제네시스,G80,1366,국산 2026-08
현대,아이오닉 5,1359,국산 2026-08
제네시스,GV70,1307,국산 2026-08
제네시스,GV80,1240,국산 2026-08
기아,레이 EV,1201,국산 2026-08
기아,니로,1039,국산 2026-08
르노,그랑 콜레오스,929,국산 2026-08
현대,아반떼,776,국산 2026-08
현대,아이오닉 9,770,국산 2026-08
현대,코나,752,국산 2026-08
기아,EV4,743,국산 2026-08
현대,캐스퍼,703,국산 2026-08
쉐보레,트랙스 크로스오버,629,국산 2026-08
현대,디 올 뉴 아반떼,607,국산 2026-08
KGM,티볼리,579,국산 2026-08
르노,아르카나,575,국산 2026-08
현대,스타리아 일렉트릭,575,국산 2026-08
KGM,무쏘,566,국산 2026-08
현대,투싼,526,국산 2026-08
르노,필랑트,520,국산 2026-08
현대,포터2 일렉트릭,481,국산 2026-08
KGM,뉴 토레스,460,국산 2026-08
KGM,액티언,444,국산 2026-08
현대,더 뉴 아이오닉 6,424,국산 2026-08
기아,EV6,420,국산 2026-08
현대,베뉴,407,국산 2026-08
기아,타스만,378,국산 2026-08
현대,캐스퍼 일렉트릭,314,국산 2026-08
기아,EV9,312,국산 2026-08
현대,코나 일렉트릭,282,국산 2026-08
현대,디 올 뉴 넥쏘,276,국산 2026-08
제네시스,G90,270,국산 2026-08
기아,봉고 3 EV,245,국산 2026-08
기아,버스/특수,245,국산 2026-08
KGM,무쏘 EV,130,국산 2026-08
제네시스,Electrified GV70,99,국산 2026-08
현대,ST1,95,국산 2026-08
제네시스,Electrified G80,94,국산 2026-08
쉐보레,트레일블레이저,88,국산 2026-08
KGM,토레스 EVX,87,국산 2026-08
제네시스,G70,83,국산 2026-08
현대,아반떼 N,79,국산 2026-08
제네시스,GV60,73,국산 2026-08
KGM,렉스턴 뉴 아레나,34,국산 2026-08
기아,K9,29,국산 2026-08
제네시스,GV60 MAGMA,13,국산 2026-08
현대,아이오닉 5 N,13,국산 2026-08
테슬라,Model Y,9638,수입 2026-08
BMW,5 Series,1902,수입 2026-08
벤츠,E-Class,1418,수입 2026-08
BYD,Dolphin,1202,수입 2026-08
BYD,SEALION 7,819,수입 2026-08
테슬라,Model 3,693,수입 2026-08
BMW,X3,638,수입 2026-08
벤츠,GLC-Class,591,수입 2026-08
BYD,SEALION 6 DM-i,500,수입 2026-08
BMW,X5,485,수입 2026-08
BMW,3 Series,468,수입 2026-08
벤츠,The New S-Class,464,수입 2026-08
