rank,vehicle,brand,model,urls_count,direct_pdf_count,active,note,catalog_url,price_url,raw_urls
1,기아 쏘렌토,기아,쏘렌토,1,1,Y,직접 PDF URL,,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/pdf/price/price_sorento.pdf,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/pdf/price/price_sorento.pdf
2,테슬라 Model Y,테슬라,Model Y,1,0,N,직접 PDF URL 없음 - 별도 확인 필요,,,https://www.tesla.com/ko_kr/modely/design
3,현대 그랜저,현대,그랜저,2,2,Y,직접 PDF URL,https://www.hyundai.com/contents/repn-car/catalog/grandeur-2026-price.pdf,https://www.hyundai.com/contents/repn-car/catalog/grandeur-hybrid-2026-price.pdf,https://www.hyundai.com/contents/repn-car/catalog/grandeur-2026-price.pdf | https://www.hyundai.com/contents/repn-car/catalog/grandeur-hybrid-2026-price.pdf
4,현대 쏘나타 디 엣지,현대,쏘나타 디 엣지,1,1,Y,직접 PDF URL,,https://www.hyundai.com/contents/repn-car/catalog/sonata-the-edge-price.pdf,https://www.hyundai.com/contents/repn-car/catalog/sonata-the-edge-price.pdf
5,기아 스포티지,기아,스포티지,1,1,Y,직접 PDF URL,,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/pdf/price/price_sportage.pdf,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/pdf/price/price_sportage.pdf
6,기아 카니발,기아,카니발,1,1,Y,직접 PDF URL,,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/pdf/price/price_carnival.pdf,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/pdf/price/price_carnival.pdf
7,현대 아반떼,현대,아반떼,1,1,Y,직접 PDF URL,,https://www.hyundai.com/contents/repn-car/catalog/avante-2026-price.pdf,https://www.hyundai.com/contents/repn-car/catalog/avante-2026-price.pdf
8,현대 포터 II,현대,포터 II,1,1,Y,직접 PDF URL,,https://www.hyundai.com/contents/repn-car/catalog/porter2-2024-price.pdf,https://www.hyundai.com/contents/repn-car/catalog/porter2-2024-price.pdf
9,현대 투싼,현대,투싼,1,1,Y,직접 PDF URL,,https://www.hyundai.com/contents/repn-car/catalog/tucson-2026-price.pdf,https://www.hyundai.com/contents/repn-car/catalog/tucson-2026-price.pdf
10,현대 싼타페,현대,싼타페,2,2,Y,직접 PDF URL,https://www.hyundai.com/contents/repn-car/catalog/santafe-price.pdf,https://www.hyundai.com/contents/repn-car/catalog/santafe-hev-2026-price.pdf,https://www.hyundai.com/contents/repn-car/catalog/santafe-price.pdf | https://www.hyundai.com/contents/repn-car/catalog/santafe-hev-2026-price.pdf
