rank,rank_change,brand,model,vehicle,units_sold,segment,powertrain,target_tag,image_url,price_url,catalog_url,active,note,image_file,image_source_url,image_review_status,image_source_type
1,-,현대,더 뉴 그랜저,현대 더 뉴 그랜저,"10,062",세단,,개인/법인/출퇴근,https://www.hyundaimotorgroup.com/image/upload/asset_library/MDA00000000000078838/72dabdc6092f4644b18f9ece68bd5a1d.jpg,https://www.hyundai.com/contents/repn-car/catalog/the-new-grandeur-price.pdf,https://www.hyundai.com/contents/repn-car/catalog/the-new-grandeur-catalog.pdf,Y,현대 공식 가격 페이지 기준 최신 가격표,,https://www.hyundaimotorgroup.com/ko/news/hyundai-new-grandeur-design-reveal,approved,official_newsroom
2,NEW,테슬라,Model Y,테슬라 Model Y,"8,762",전기차,전기,전기차/법인/출퇴근/친환경,https://digitalassets.tesla.com/tesla-contents/image/upload/f_auto%2Cq_auto/Model-Y-2-Specs-LR-AWD-Desktop-KR.png,https://www.tesla.com/ko_kr/modely/design,,Y,공식 홈페이지 가격/주문 페이지,,https://www.tesla.com/ko_kr/modely,approved,official_site
3,▼1,기아,쏘렌토,기아 쏘렌토,"8,561",SUV,,패밀리/장기렌트/레저,https://www.hyundaimotorgroup.com/image/upload/asset_library/MDA00000000000040413/bca92877fb8e4dc786a40be04246d481.jpg,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/pdf/price/price_sorento.pdf,,Y,직접 PDF URL,,https://www.hyundaimotorgroup.com/ko/news/CONT0000000000102538,approved,official_newsroom
4,▼1,기아,셀토스,기아 셀토스,"6,685",SUV,,패밀리/장기렌트/레저,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/represent/krst290/seltos_s_swp.png?imwidth=800,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/pdf/price/price_seltos.pdf,,Y,직접 PDF URL,,https://www.kia.com/kr/vehicles/seltos/features,approved,official_site
5,▼1,기아,카니발,기아 카니발,"6,267",MPV,,패밀리/법인/의전/다인승,https://www.hyundaimotorgroup.com/image/upload/asset_library/MDA00000000000066415/a4eacd7bc434453391b974d6ccd14ae7.jpg,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/pdf/price/price_carnival.pdf,,Y,직접 PDF URL,,https://www.hyundaimotorgroup.com/ko/news/CONT0000000000183309,approved,official_newsroom
6,▼1,기아,스포티지,기아 스포티지,"6,176",SUV,,패밀리/장기렌트/레저,https://www.hyundaimotorgroup.com/image/upload/asset_library/MDA00000000000055596/f5032236de1845668952429b49fed1a1.jpg,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/pdf/price/price_sportage.pdf,,Y,직접 PDF URL,,https://www.hyundaimotorgroup.com/ko/news/CONT0000000000163986,approved,official_newsroom
7,▼1,현대,쏘나타 디 엣지,현대 쏘나타 디 엣지,"5,102",세단,,개인/법인/출퇴근,https://www.hyundaimotorgroup.com/image/upload/asset_library/MDA00000000000070421/99fc6d4804ec46b2a2ef88726195d0a1.jpg,https://www.hyundai.com/contents/repn-car/catalog/sonata-the-edge2026-price.pdf,https://www.hyundai.com/contents/repn-car/catalog/sonata-the-edge_catalog.pdf,Y,현대 공식 가격 페이지 기준 최신 가격표,,https://www.hyundaimotorgroup.com/ko/news/CONT0000000000188025,approved,official_newsroom
8,▼1,현대,디 올 뉴 팰리세이드,현대 디 올 뉴 팰리세이드,"4,211",SUV,,패밀리/장기렌트/레저,https://www.hyundai.com/contents/repn-car/side-45/meta-palisade-25fc-45side.png,https://www.hyundai.com/contents/repn-car/catalog/palisade-2025-price.pdf,https://www.hyundai.com/contents/repn-car/catalog/the-all-new-palisade-catalog.pdf,Y,현대 공식 가격 페이지 기준 최신 가격표,,https://www.hyundai.com/kr/ko/e/vehicles/palisade/intro,approved,official_site
9,▼1,현대,아반떼,현대 아반떼,"4,201",세단,,개인/법인/출퇴근,https://www.hyundaimotorgroup.com/image/upload/asset_library/MDA00000000000061388/bf7b014705c64abdbe8690f2ef2a87ad.jpg,https://www.hyundai.com/contents/repn-car/catalog/avante-2026-price.pdf,https://www.hyundai.com/contents/repn-car/catalog/avante-catalog.pdf,Y,현대 공식 가격 페이지 기준 최신 가격표,,https://www.hyundaimotorgroup.com/ko/news/CONT0000000000174496,approved,official_newsroom
10,▼1,현대,싼타페,현대 싼타페,"4,068",SUV,,패밀리/장기렌트/레저,https://www.hyundaimotorgroup.com/image/upload/asset_library/MDA00000000000066001/d794bf4766ef47eb8ad8a13f8e4f80e2.jpg,https://www.hyundai.com/contents/repn-car/catalog/santafe-2026-price.pdf,https://www.hyundai.com/contents/repn-car/catalog/santafe-catalog.pdf,Y,현대 공식 가격 페이지 기준 최신 가격표,,https://www.hyundaimotorgroup.com/ko/news/CONT0000000000182689,approved,official_newsroom
